"Item","Questions","Answer","a","b","c","d","e","Type"
"61","33 + 197 = ?","230","218","242","230","221","245","radio"
"62","89 + 181 = ?","270","279","270","261","285","255","radio"
"63","45 + 172 = ?","217","217","223","202","220","205","radio"
"64","65 + 198 = ?","263","272","275","263","260","257","radio"
"65","84 + 191 = ?","275","255","263","259","291","275","radio"
"66","9 + 160 = ?","169","173","177","165","169","149","radio"
"67","81 + 144 = ?","225","220","225","230","235","205","radio"
"68","47 + 172 = ?","219","222","228","213","204","219","radio"
"69","62 + 200 = ?","262","247","265","262","253","250","radio"
"70","82 + 148 = ?","230","235","245","230","255","215","radio"
"71","53 + 124 = ?","177","187","192","177","162","182","radio"
"72","53 + 175 = ?","228","225","228","222","231","234","radio"
"73","5 + 170 = ?","175","166","184","187","175","190","radio"
"74","90 + 133 = ?","223","233","229","227","231","223","radio"
"75","68 + 140 = ?","208","208","183","188","203","193","radio"
"76","4 + 145 = ?","149","143","149","146","161","134","radio"
"77","80 + 126 = ?","206","206","198","204","196","212","radio"
"78","37 + 169 = ?","206","200","206","188","230","236","radio"
"79","78 + 147 = ?","225","241","233","225","229","245","radio"
"80","92 + 130 = ?","222","210","222","219","225","237","radio"
"81","23 + 141 = ?","164","167","164","161","163","169","radio"
"82","71 + 168 = ?","239","227","239","236","242","233","radio"
"83","7 + 156 = ?","163","163","143","159","183","167","radio"
"84","78 + 140 = ?","218","202","218","206","238","210","radio"
"85","42 + 159 = ?","201","185","201","181","205","197","radio"
"86","20 + 161 = ?","181","181","206","156","166","171","radio"
"87","14 + 151 = ?","165","190","145","185","155","165","radio"
"88","7 + 193 = ?","200","197","200","191","194","188","radio"
"89","71 + 195 = ?","266","266","246","274","258","270","radio"
"90","90 + 160 = ?","250","250","244","259","256","247","radio"
"91","64 + 180 = ?","244","244","241","250","229","238","radio"
"92","59 + 199 = ?","258","257","256","253","258","260","radio"
"93","42 + 125 = ?","167","179","164","158","167","170","radio"
"94","37 + 176 = ?","213","209","213","229","205","197","radio"
"95","3 + 159 = ?","162","156","180","162","144","192","radio"
"96","9 + 133 = ?","142","142","146","122","130","162","radio"
"97","51 + 176 = ?","227","219","231","227","247","211","radio"
"98","82 + 199 = ?","281","287","279","273","275","281","radio"
"99","73 + 119 = ?","192","200","192","180","188","184","radio"
"100","69 + 132 = ?","201","200","198","205","202","201","radio"
